,0,1,2
0,input/small_0.csv,36.9,29.299999999999994
1,input/small_1.csv,42.4,32.4
2,input/small_2.csv,65.60000000000001,56.9
3,input/small_3.csv,29.500000000000004,23.700000000000003
4,input/small_4.csv,33.9,30.799999999999997
5,input/small_5.csv,63.599999999999994,54.40000000000002
6,input/small_6.csv,44.9,41.0
7,input/small_7.csv,56.3,46.900000000000006
8,input/small_8.csv,38.1,35.5
9,input/small_9.csv,58.099999999999994,49.7
10,input/medium_0.csv,408.7,329.5000000000002
11,input/medium_1.csv,380.0,344.19999999999993
12,input/medium_2.csv,307.70000000000005,241.50000000000006
13,input/medium_3.csv,380.1,317.4
14,input/medium_4.csv,279.2000000000001,234.80000000000013
15,input/medium_5.csv,398.5,341.7
16,input/medium_6.csv,323.09999999999997,250.90000000000003
17,input/medium_7.csv,325.5,260.0
18,input/medium_8.csv,271.29999999999995,227.60000000000002
19,input/medium_9.csv,299.0,258.7
20,input/large_0.csv,917.9000000000003,706.5000000000001
21,input/large_1.csv,988.1999999999999,773.9000000000004
22,input/large_2.csv,736.8999999999997,599.5000000000002
23,input/large_3.csv,844.5000000000002,730.9000000000003
24,input/large_4.csv,844.2000000000003,727.0000000000007
25,input/large_5.csv,795.7,635.6000000000006
26,input/large_6.csv,793.7,676.1000000000008
27,input/large_7.csv,867.8000000000003,681.7000000000004
28,input/large_8.csv,944.8999999999999,825.7000000000005
29,input/large_9.csv,762.1999999999999,659.0999999999996
30,input/xl_0.csv,1655.3,1371.1999999999994
31,input/xl_1.csv,1605.1,1412.7999999999995
32,input/xl_2.csv,1486.899999999999,1270.6000000000008
33,input/xl_3.csv,1390.2000000000003,1174.3999999999999
34,input/xl_4.csv,1466.9999999999995,1291.6999999999985
35,input/xl_5.csv,1441.5000000000005,1255.400000000002
36,input/xl_6.csv,1737.3999999999996,1521.7999999999977
37,input/xl_7.csv,1705.1,1417.3999999999992
38,input/xl_8.csv,1512.6999999999998,1243.4999999999993
39,input/xl_9.csv,1531.7000000000003,1309.3999999999994
